momento de captura,rango de edad,industria,salario anual,compensaciones extra anuales,moneda,otra moneda,pais,estado us,ciudad,experiencia total,experiencia especifica,nivel educativo,genero,etnia
27/04/2021 17:26:36,25-34,Engineering or Manufacturing,60000,1000.0,USD,,USA,Colorado,Lafayette,11 - 20 years,8 - 10 years,College degree,Woman,White
27/04/2021 17:26:43,45-54,Social Work,24000,0.0,USD,,USA,Michigan,Detroit area,11 - 20 years,8 - 10 years,Master's degree,Woman,White
27/04/2021 17:26:48,25-34,Law,113000,0.0,USD,,USA,Washington,Seattle ,8 - 10 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman,White
27/04/2021 17:26:48,35-44,Health care,99000,,USD,,United States,,Portland,11 - 20 years,8 - 10 years,Master's degree,Woman,Another option not listed here or prefer not to answer
27/04/2021 17:26:58,35-44,Nonprofits,45000,1000.0,USD,,USA,Colorado,Denver,11 - 20 years,5-7 years,Master's degree,Woman,White
27/04/2021 17:27:01,35-44,Government and Public Administration,72000,6000.0,CAD,,Canada,,East Coast,21 - 30 years,11 - 20 years,College degree,Woman,White
27/04/2021 17:27:19,18-24,"Accounting, Banking & Finance",50500,5000.0,USD,,United States,Iowa,Muscatine,1 year or less,1 year or less,College degree,Woman,White
27/04/2021 17:27:28,35-44,Media & Digital,90000,0.0,USD,,United States,California,Los Angeles,11 - 20 years,11 - 20 years,College degree,Woman,White
27/04/2021 17:27:32,45-54,Property or Construction,138000,5000.0,USD,,USA,Virginia,Fairfax,31 - 40 years,21 - 30 years,Some college,Woman,"Asian or Asian American, White"
27/04/2021 17:27:49,25-34,Business or Consulting,90000,5000.0,USD,,United States,Texas,Austin,2 - 4 years,2 - 4 years,College degree,Woman,Another option not listed here or prefer not to answer
27/04/2021 17:27:50,25-34,Biomedical Research,82000,16000.0,USD,,United States,Colorado,Vail,8 - 10 years,5-7 years,Master's degree,Woman,White
27/04/2021 17:28:07,45-54,IT MSP,60000,0.0,USD,,USA,Connecticut,Essex,21 - 30 years,11 - 20 years,Some college,Woman,White
27/04/2021 17:28:19,25-34,Computing or Tech,92000,7000.0,USD,,United States,District of Columbia,"Washington, D.C.",8 - 10 years,8 - 10 years,Master's degree,Woman,White
27/04/2021 17:28:30,35-44,Retail,50000,0.0,USD,,United States,New Mexico,Santa Fe,21 - 30 years,11 - 20 years,Some college,Other or prefer not to answer,"Hispanic, Latino, or Spanish origin, White"
27/04/2021 17:28:35,25-34,Computing or Tech,72400,31250.0,GBP,,United Kingdom,,London,11 - 20 years,11 - 20 years,Master's degree,Man,White
27/04/2021 17:28:43,25-34,Business or Consulting,60000,,USD,,U.S.,Louisiana,New Orleans ,8 - 10 years,1 year or less,College degree,Woman,White
27/04/2021 17:28:54,35-44,"Accounting, Banking & Finance",150000,,USD,,US,Virginia,Mclean,5-7 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman,Another option not listed here or prefer not to answer
27/04/2021 17:29:07,35-44,"Accounting, Banking & Finance",41200,4000.0,USD,,USA,Virginia,Ruther Glen,8 - 10 years,8 - 10 years,Some college,Woman,Black or African American
27/04/2021 17:29:09,18-24,Health care,15000,0.0,CAD,,Canada,,"Edmonton, Alberta",2 - 4 years,2 - 4 years,College degree,Woman,White
27/04/2021 17:29:17,25-34,Transport or Logistics,50000,2000.0,GBP,,UK,,Edinburgh,8 - 10 years,5-7 years,College degree,Woman,"Asian or Asian American, White"
27/04/2021 17:29:35,35-44,Computing or Tech,60000,0.0,USD,,United States,Missouri,Columbia,21 - 30 years,8 - 10 years,College degree,Man,White
27/04/2021 17:29:38,35-44,"Accounting, Banking & Finance",90000,16000.0,USD,,USA,New York,New York,11 - 20 years,2 - 4 years,Master's degree,Woman,White
27/04/2021 17:29:43,45-54,public libraries,33000,0.0,USD,,US,Idaho,Fairfield,21 - 30 years,11 - 20 years,Master's degree,Woman,White
27/04/2021 17:29:45,25-34,"Marketing, Advertising & PR",28200,,GBP,,United Kingdom,,London,2 - 4 years,2 - 4 years,College degree,Woman,White
27/04/2021 17:29:56,25-34,Education (Higher Education),49050,,USD,,USA,Texas,Austin,5-7 years,5-7 years,Master's degree,Woman,White
27/04/2021 17:30:01,35-44,Government and Public Administration,43944,4000.0,USD,,USA,Oklahoma,Oklahoma City,5-7 years,5-7 years,College degree,Woman,"Native American or Alaska Native, White"
27/04/2021 17:30:02,25-34,Social Work,45000,0.0,USD,,United States,Pennsylvania,Berwyn,8 - 10 years,8 - 10 years,College degree,Woman,White
27/04/2021 17:30:04,25-34,"Accounting, Banking & Finance",58000,0.0,USD,,Usa,Washington,Tacoma ,2 - 4 years,2 - 4 years,College degree,Woman,"Hispanic, Latino, or Spanish origin, White"
27/04/2021 17:30:17,35-44,Public library,97232,0.0,USD,,USA,Connecticut,no answer,21 - 30 years,11 - 20 years,Master's degree,Woman,White
27/04/2021 17:30:19,35-44,Government and Public Administration,1334782,0.0,USD,,US,District of Columbia,DC,11 - 20 years,11 - 20 years,PhD,Woman,"Black or African American, White"
27/04/2021 17:30:21,25-34,Scientific Research,92000,0.0,USD,,USA,Washington,Richland,5-7 years,5-7 years,Master's degree,Woman,White
27/04/2021 17:30:27,25-34,Engineering or Manufacturing,110000,0.0,CAD,,Canada,,Calgary,8 - 10 years,8 - 10 years,College degree,Woman,White
27/04/2021 17:30:33,25-34,Education (Primary/Secondary),42000,500.0,USD,,USA,Connecticut,Hamden,8 - 10 years,8 - 10 years,Master's degree,Woman,White
27/04/2021 17:30:38,35-44,Utilities & Telecommunications,192000,15000.0,AUD/NZD,,Australia,,Melbourne Australia,11 - 20 years,5-7 years,Master's degree,Woman,White
27/04/2021 17:30:40,35-44,Nonprofits,71000,,USD,,United States,Massachusetts,Boston,11 - 20 years,2 - 4 years,PhD,Woman,White
27/04/2021 17:30:41,45-54,Retail,30000,200.0,USD,,US,Tennessee,Brentwood ,21 - 30 years,5-7 years,College degree,Woman,White
27/04/2021 17:30:48,25-34,Computing or Tech,180000,,USD,,United States,California,San Francisco,2 - 4 years,2 - 4 years,PhD,Woman,Asian or Asian American
27/04/2021 17:30:51,25-34,Health care,31200,0.0,USD,,USA,Idaho,Meridian,8 - 10 years,1 year or less,College degree,Woman,White
27/04/2021 17:30:52,35-44,Government and Public Administration,75000,0.0,USD,,US,New York,Too small to list,11 - 20 years,11 - 20 years,Master's degree,Woman,White
27/04/2021 17:30:59,45-54,Education (Higher Education),90000,1200.0,USD,,USA,Alaska,Fairbanks,21 - 30 years,11 - 20 years,PhD,Woman,White
27/04/2021 17:31:03,25-34,Not for profit education consultancy,36700,0.0,GBP,,UK,,Bristol,2 - 4 years,1 year or less,Master's degree,Woman,White
27/04/2021 17:31:10,25-34,Computing or Tech,200000,250000.0,USD,,United States,California,San Francisco,11 - 20 years,8 - 10 years,College degree,Woman,White
27/04/2021 17:31:12,45-54,Education (Higher Education),80000,12000.0,USD,,USA,Colorado,Boulder,21 - 30 years,21 - 30 years,Master's degree,Woman,White
27/04/2021 17:31:15,18-24,Education (Primary/Secondary),40000,,USD,,USA,Minnesota,Minneapolis,1 year or less,1 year or less,College degree,Woman,"Asian or Asian American, White"
27/04/2021 17:31:20,35-44,Education (Higher Education),64000,0.0,USD,,USA,Oklahoma,Tulsa,8 - 10 years,8 - 10 years,Master's degree,Woman,White
27/04/2021 17:31:28,35-44,Nonprofits,80500,2000.0,USD,,USA,District of Columbia,"Washington, DC",5-7 years,2 - 4 years,PhD,Woman,White
27/04/2021 17:31:37,45-54,Insurance,89000,9000.0,CAD,,Canada,,Calgary,21 - 30 years,8 - 10 years,Some college,Woman,White
27/04/2021 17:31:47,45-54,Computing or Tech,141000,15000.0,USD,,USA,Washington,Redmond,11 - 20 years,5-7 years,Master's degree,Other or prefer not to answer,White
27/04/2021 17:31:52,35-44,Nonprofits,135000,0.0,USD,,USA,California,Berkeley,11 - 20 years,11 - 20 years,College degree,Woman,White
27/04/2021 17:32:02,35-44,Law,255000,65000.0,USD,,USA,California,Los Angeles ,5-7 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Woman,White
27/04/2021 17:32:03,25-34,"Marketing, Advertising & PR",86000,0.0,CAD,,Canada,,Vancouver,8 - 10 years,8 - 10 years,Some college,Woman,Asian or Asian American
27/04/2021 17:32:09,35-44,Recruitment or HR,100500,2500.0,USD,,US,Washington,Seattle,11 - 20 years,11 - 20 years,College degree,Woman,White
27/04/2021 17:32:20,35-44,Law,88600,6600.0,USD,,United States,California,Los Angeles,11 - 20 years,8 - 10 years,Master's degree,Woman,Another option not listed here or prefer not to answer
27/04/2021 17:32:38,25-34,Education (Primary/Secondary),62000,1500.0,USD,,U.S.,Pennsylvania,Suburban Philadelphia ,11 - 20 years,8 - 10 years,Master's degree,Woman,White
27/04/2021 17:32:42,25-34,Environmental Consulting,68000,,USD,,USA,Alaska,Anchorage,11 - 20 years,8 - 10 years,College degree,Woman,White
27/04/2021 17:32:55,25-34,Business or Consulting,104000,10000.0,USD,,United States,Illinois,Chicago,8 - 10 years,2 - 4 years,College degree,Woman,White
27/04/2021 17:33:01,25-34,Art & Design,68000,,AUD/NZD,,New Zealand,,Auckland,5-7 years,2 - 4 years,Master's degree,Woman,White
27/04/2021 17:33:20,25-34,Media & Digital,92000,0.0,USD,,United States,District of Columbia,Washington ,5-7 years,5-7 years,"Professional degree (MD, JD, etc.)",Non-binary,White
27/04/2021 17:33:31,25-34,Retail,350000,15000.0,SEK,,Sweden,,Kiruna,8 - 10 years,2 - 4 years,High School,Woman,"White, Another option not listed here or prefer not to answer"
27/04/2021 17:33:38,25-34,Government and Public Administration,59000,2400.0,USD,,US,New Jersey,Boston,5-7 years,2 - 4 years,Master's degree,Woman,White
27/04/2021 17:33:42,25-34,,43000,0.0,USD,,USA,California,Irvine,2 - 4 years,1 year or less,College degree,Woman,"Hispanic, Latino, or Spanish origin, White"
27/04/2021 17:34:11,25-34,Government and Public Administration,93536,,AUD/NZD,,Australia ,,Melbourne ,2 - 4 years,1 year or less,Master's degree,Woman,White
27/04/2021 17:34:15,25-34,Libraries,61767,,USD,,United States,Massachusetts,Wakefield,5-7 years,5-7 years,Master's degree,Woman,"Black or African American, White"
27/04/2021 17:34:25,35-44,Computing or Tech,135000,,USD,,USA,Massachusetts,Boston,11 - 20 years,8 - 10 years,College degree,Woman,White
27/04/2021 17:34:30,35-44,Utilities & Telecommunications,85000,10000.0,CAD,,Canada,,Edmonton,11 - 20 years,11 - 20 years,College degree,Woman,Asian or Asian American
27/04/2021 17:35:05,55-64,Computing or Tech,61000,,USD,,USA,California,Oakland,11 - 20 years,11 - 20 years,College degree,Woman,White
27/04/2021 17:35:24,25-34,Education (Higher Education),115000,,USD,,USA,Massachusetts,Boston,5-7 years,2 - 4 years,PhD,Woman,White
27/04/2021 17:35:25,45-54,Entertainment,78000,,USD,,USA,California,Los Angeles,21 - 30 years,21 - 30 years,College degree,Woman,White
27/04/2021 17:35:29,35-44,Nonprofits,80000,0.0,USD,,United States,Oregon,Portland,11 - 20 years,5-7 years,Master's degree,Woman,
27/04/2021 17:35:32,25-34,Government and Public Administration,120000,,AUD/NZD,,New Zealand Aotearoa,,Wellington,11 - 20 years,8 - 10 years,Master's degree,Woman,White
27/04/2021 17:35:40,35-44,Health care,220000,,USD,,USA,Virginia,Richmond VA,8 - 10 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Woman,White
27/04/2021 17:35:43,35-44,Nonprofits,38000,250.0,USD,,United States,Texas,Sherman Texas,5-7 years,5-7 years,Master's degree,Woman,White
27/04/2021 17:36:17,55-64,Insurance,92000,3000.0,USD,,United States ,Illinois,Chicago ,31 - 40 years,31 - 40 years,College degree,Man,White
27/04/2021 17:36:19,25-34,Health care,96000,40000.0,USD,,USA,Wisconsin,Madison,8 - 10 years,8 - 10 years,Master's degree,Woman,White
27/04/2021 17:36:22,55-64,Professional regulation,55000,0.0,GBP,,United Kingdom,,London,31 - 40 years,11 - 20 years,College degree,Woman,White
27/04/2021 17:36:25,45-54,Business or Consulting,55,,USD,55000,US,Michigan,Bloomfield Hills,21 - 30 years,11 - 20 years,College degree,Woman,White
27/04/2021 17:36:29,25-34,Engineering or Manufacturing,75000,0.0,USD,,USA,California,Los Angeles,2 - 4 years,2 - 4 years,College degree,Woman,Middle Eastern or Northern African
27/04/2021 17:36:32,25-34,Engineering or Manufacturing,77000,20000.0,USD,,USA,Oregon,Portland ,2 - 4 years,2 - 4 years,College degree,Woman,White
27/04/2021 17:36:45,45-54,Government and Public Administration,120660,0.0,USD,,USA,Virginia,Arlington,21 - 30 years,11 - 20 years,Master's degree,Woman,White
27/04/2021 17:36:59,35-44,Nonprofits,54000,0.0,USD,,USA,Wisconsin,Madison,11 - 20 years,2 - 4 years,College degree,Woman,White
27/04/2021 17:37:07,35-44,Government and Public Administration,110824,0.0,USD,,USA,Rhode Island,Providence,11 - 20 years,11 - 20 years,College degree,Man,White
27/04/2021 17:37:13,35-44,Geologist,260000,,CAD,,Canada,,Calgary,11 - 20 years,11 - 20 years,PhD,Woman,White
27/04/2021 17:37:32,18-24,Education (Higher Education),51500,1000.0,USD,,United States,Illinois,"Chicago, IL ",1 year or less,1 year or less,College degree,Other or prefer not to answer,
27/04/2021 17:37:47,25-34,Biotech,130000,30000.0,USD,,United States,New York,Tarrytown,11 - 20 years,2 - 4 years,Master's degree,Woman,White
27/04/2021 17:37:48,25-34,Nonprofits,67000,,USD,,United States,New York,New York,8 - 10 years,5-7 years,Master's degree,Woman,"Hispanic, Latino, or Spanish origin"
27/04/2021 17:37:58,25-34,Nonprofits,72500,,USD,,United States,District of Columbia,"Washington, DC",11 - 20 years,8 - 10 years,College degree,Woman,White
27/04/2021 17:38:07,55-64,Computing or Tech,120000,0.0,USD,,United States,Texas,Dallas,31 - 40 years,31 - 40 years,Some college,Woman,White
27/04/2021 17:38:13,35-44,Insurance,172000,25000.0,AUD/NZD,,Australia,,Work from home,11 - 20 years,11 - 20 years,Some college,Woman,White
27/04/2021 17:38:22,25-34,Insurance,55000,10000.0,USD,,United States,Texas,Beaumont,5-7 years,5-7 years,College degree,Woman,White
27/04/2021 17:38:26,55-64,Health care,126200,,USD,,USA,Washington,Tacoma,31 - 40 years,31 - 40 years,Some college,Woman,White
27/04/2021 17:38:42,25-34,Retail,85000,2000.0,AUD/NZD,,Australia ,,Brisbane ,11 - 20 years,11 - 20 years,High School,Woman,White
27/04/2021 17:39:04,35-44,Retail,26600,,USD,,United States,Oregon,Salem,11 - 20 years,1 year or less,Some college,Woman,White
27/04/2021 17:39:10,35-44,Government and Public Administration,153000,20000.0,USD,,USA ,District of Columbia,Washington DC,11 - 20 years,11 - 20 years,Master's degree,Woman,White
27/04/2021 17:39:29,35-44,Computing or Tech,68000,,USD,,US,Indiana,Indianapolis ,21 - 30 years,5-7 years,College degree,Woman,White
27/04/2021 17:39:42,25-34,Engineering or Manufacturing,110000,,USD,,USA,Texas,Houston,2 - 4 years,2 - 4 years,Master's degree,Woman,Middle Eastern or Northern African
27/04/2021 17:39:45,25-34,Education (Higher Education),68000,0.0,USD,,USA,Massachusetts,Worcester,2 - 4 years,2 - 4 years,College degree,Woman,White
27/04/2021 17:39:58,55-64,"Accounting, Banking & Finance",148000,50000.0,USD,,United States,Washington,Redmond,31 - 40 years,31 - 40 years,Master's degree,Woman,White
27/04/2021 17:40:05,55-64,Social Work,70000,0.0,AUD/NZD,,New Zealand,,,31 - 40 years,21 - 30 years,Master's degree,Woman,White
27/04/2021 17:40:12,25-34,Computing or Tech,110000,16500.0,AUD/NZD,,Australia ,,Sydney,5-7 years,5-7 years,College degree,Woman,White
27/04/2021 17:40:13,18-24,Computing or Tech,113000,10000.0,USD,,USA,Colorado,Denver,2 - 4 years,2 - 4 years,College degree,Woman,White
27/04/2021 17:40:15,45-54,Nonprofits,143000,,USD,,USA,New York,New York,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Woman,White
27/04/2021 17:40:16,25-34,Media & Digital,64000,500.0,USD,,USA,New York,New York City,5-7 years,2 - 4 years,College degree,Non-binary,White
27/04/2021 17:40:21,35-44,Utilities & Telecommunications,125000,0.0,AUD/NZD,,Australia,,Melbourne,11 - 20 years,2 - 4 years,Master's degree,Woman,White
27/04/2021 17:40:36,35-44,Government and Public Administration,108000,0.0,AUD/NZD,,Australia,,Canberra,11 - 20 years,11 - 20 years,Master's degree,Woman,White
27/04/2021 17:40:47,55-64,Engineering or Manufacturing,140000,0.0,USD,,Usa,Massachusetts,Boston ,31 - 40 years,31 - 40 years,Master's degree,Woman,White
27/04/2021 17:40:58,55-64,Nonprofits,194000,4800.0,USD,,US,Oregon,Portland,31 - 40 years,31 - 40 years,College degree,Woman,White
27/04/2021 17:40:59,25-34,Government and Public Administration,62000,0.0,USD,,USA,Minnesota,Saint Paul,8 - 10 years,5-7 years,Master's degree,Woman,White
27/04/2021 17:41:16,45-54,Education (Primary/Secondary),75000,0.0,USD,,United States,Minnesota,St Paul,21 - 30 years,21 - 30 years,Master's degree,Woman,White
27/04/2021 17:41:23,45-54,Biotech,165000,5000.0,USD,,USA,California,San Francisco,2 - 4 years,2 - 4 years,PhD,Man,"Hispanic, Latino, or Spanish origin, White"
27/04/2021 17:41:33,45-54,Computing or Tech,78078,1300.0,USD,,United States,Washington,Seattle,21 - 30 years,2 - 4 years,College degree,Man,White
27/04/2021 17:41:36,35-44,Nonprofits,73000,0.0,USD,,USA,Massachusetts,Boston,21 - 30 years,11 - 20 years,College degree,Woman,White
27/04/2021 17:41:40,25-34,Social Work,72000,0.0,USD,,US,Washington,Seattle,8 - 10 years,5-7 years,"Professional degree (MD, JD, etc.)",Non-binary,White
27/04/2021 17:41:43,45-54,Education (Higher Education),98000,0.0,USD,,USA ,California,Palo alto,21 - 30 years,11 - 20 years,Master's degree,Woman,White
27/04/2021 17:41:47,25-34,Retail,70000,5000.0,USD,,USA,Illinois,Chicago,8 - 10 years,1 year or less,College degree,Woman,White
27/04/2021 17:42:14,35-44,Nonprofits,80000,,USD,,united states,California,sacramento,11 - 20 years,5-7 years,PhD,Woman,Middle Eastern or Northern African
27/04/2021 17:42:18,25-34,Computing or Tech,78000,9000.0,CHF,,Switzerland,,Zurich,5-7 years,1 year or less,College degree,Woman,White
27/04/2021 17:42:24,25-34,manufacturing,70000,0.0,USD,,usa,Pennsylvania,aston,11 - 20 years,2 - 4 years,Some college,Woman,White
27/04/2021 17:42:31,25-34,Computing or Tech,180000,0.0,USD,,US,California,Palo Alto,8 - 10 years,8 - 10 years,College degree,Man,White
27/04/2021 17:42:36,25-34,Art & Design,58000,5800.0,AUD/NZD,,Australia,,Sydney,5-7 years,5-7 years,Master's degree,Woman,White
27/04/2021 17:42:41,35-44,Media & Digital,59000,2000.0,USD,,United States,Massachusetts,Lynnfield (Boston metro area),5-7 years,5-7 years,Master's degree,Man,White
27/04/2021 17:42:41,35-44,"Accounting, Banking & Finance",63000,,USD,,US,California,Long Beach,11 - 20 years,8 - 10 years,,Woman,White
27/04/2021 17:42:48,35-44,Transport or Logistics,43000,0.0,USD,,USA,Alaska,Small town,11 - 20 years,2 - 4 years,College degree,Woman,White
27/04/2021 17:42:51,35-44,Biotechnology,107000,3000.0,USD,,USA,Washington,Seattle,5-7 years,2 - 4 years,PhD,Woman,White
27/04/2021 17:42:54,45-54,Hospitality & Events,55000,0.0,USD,,USA,Oregon,Salem,21 - 30 years,11 - 20 years,College degree,Woman,White
27/04/2021 17:42:58,25-34,Government and Public Administration,59000,0.0,USD,,Usa,Texas,San Antonio ,5-7 years,2 - 4 years,Master's degree,Non-binary,White
27/04/2021 17:43:04,25-34,Health care,26000,,EUR,,Germany,,Frankfurt ,11 - 20 years,2 - 4 years,Some college,Woman,"Black or African American, White"
27/04/2021 17:43:07,55-64,Education (Higher Education),53000,0.0,USD,,USA,Maryland,Largo,31 - 40 years,2 - 4 years,College degree,Woman,Another option not listed here or prefer not to answer
27/04/2021 17:43:09,45-54,Education (Higher Education),64500,,USD,,United States,Oregon,Eugene,21 - 30 years,11 - 20 years,Master's degree,Woman,White
27/04/2021 17:43:19,25-34,Engineering or Manufacturing,90500,24500.0,USD,,USA,Maine,Southern Maine,8 - 10 years,8 - 10 years,College degree,Woman,White
27/04/2021 17:43:20,35-44,Engineering or Manufacturing,146000,10000.0,USD,,USA,California,Sacramento,11 - 20 years,11 - 20 years,College degree,Woman,White
27/04/2021 17:43:42,25-34,Education (Higher Education),52000,,USD,,United Kingdom,,Bristol,2 - 4 years,2 - 4 years,PhD,Woman,White
27/04/2021 17:43:53,25-34,Media & Digital,27500,,GBP,,UK,,Manchester,5-7 years,2 - 4 years,Master's degree,Woman,White
27/04/2021 17:43:55,35-44,"Accounting, Banking & Finance",130000,15000.0,USD,,U.S.,California,Los Angeles,11 - 20 years,8 - 10 years,College degree,Woman,White
27/04/2021 17:43:55,45-54,Entertainment,70000,0.0,USD,,united states,California,Los Angeles,21 - 30 years,21 - 30 years,College degree,Woman,White
27/04/2021 17:44:06,55-64,Health care,96000,0.0,CAD,,Canada,,Barrie Ontario,31 - 40 years,31 - 40 years,College degree,Woman,White
27/04/2021 17:44:21,45-54,Government and Public Administration,76000,,Other,,United States,California,"Berkeley, CA",11 - 20 years,5-7 years,Some college,Woman,White
27/04/2021 17:44:30,35-44,Engineering or Manufacturing,167000,77000.0,USD,,USA,Michigan,Prefer not to answer,11 - 20 years,8 - 10 years,Master's degree,Woman,Asian or Asian American
27/04/2021 17:45:05,25-34,Health care,117500,15000.0,USD,,USA,Pennsylvania,Philadelphia,8 - 10 years,5-7 years,Master's degree,Woman,White
27/04/2021 17:45:08,35-44,"Marketing, Advertising & PR",72000,1500.0,USD,,United States,Oregon,Portland,5-7 years,2 - 4 years,College degree,Woman,White
27/04/2021 17:45:16,25-34,Nonprofits,48000,0.0,USD,,United States,District of Columbia,Washington DC,2 - 4 years,2 - 4 years,College degree,Woman,White
27/04/2021 17:45:16,35-44,Government and Public Administration,69000,,USD,,United States,California,San Jose,2 - 4 years,2 - 4 years,Master's degree,Man,White
27/04/2021 17:45:18,35-44,Education (Higher Education),51000,0.0,USD,,United States,,Greater Philadelphia area,11 - 20 years,8 - 10 years,College degree,Woman,White
27/04/2021 17:45:29,35-44,Education (Primary/Secondary),48000,,USD,,US,Arizona,Tucson,11 - 20 years,11 - 20 years,College degree,Woman,White
27/04/2021 17:45:34,35-44,Computing or Tech,58000,4000.0,AUD/NZD,,Australia,,"Hobart, Tasmania ",11 - 20 years,5-7 years,Some college,Woman,White
27/04/2021 17:45:39,25-34,Education (Higher Education),124000,,USD,,USA,California,Bay Area,11 - 20 years,5-7 years,Master's degree,Woman,White
27/04/2021 17:45:43,35-44,Law,61500,1000.0,USD,,Usa,Minnesota,Minneapolis,11 - 20 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman,White
27/04/2021 17:45:48,35-44,Education (Primary/Secondary),62000,0.0,USD,,United States,Maryland,Church Hill,11 - 20 years,11 - 20 years,Master's degree,Woman,White
27/04/2021 17:46:05,45-54,Scientific analysis,70000,0.0,USD,,United States,Pennsylvania,Easton,11 - 20 years,8 - 10 years,Master's degree,Woman,White
27/04/2021 17:46:11,45-54,Health care,65000,0.0,USD,,usa,Maryland,Towson,11 - 20 years,8 - 10 years,College degree,Woman,White
27/04/2021 17:46:23,35-44,Computing or Tech,79999,5000.0,USD,,USA ,New Jersey,Elmwood Park,11 - 20 years,2 - 4 years,Master's degree,Woman,White
27/04/2021 17:46:36,35-44,Recruitment or HR,100000,10000.0,USD,,USA,California,"Foothill Ranch, CA",11 - 20 years,8 - 10 years,College degree,Woman,White
27/04/2021 17:46:50,35-44,Nonprofits,90000,0.0,USD,,US,New York,New York City ,8 - 10 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Woman,White
27/04/2021 17:46:50,25-34,Nonprofits,67100,,CHF,,Switzerland,,Geneva,8 - 10 years,8 - 10 years,Master's degree,Woman,"Asian or Asian American, White"
27/04/2021 17:46:58,25-34,Law,225000,80000.0,USD,,United States,New York,New York,5-7 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman,Asian or Asian American
27/04/2021 17:47:07,35-44,"Accounting, Banking & Finance",81000,2000.0,USD,,United States,New York,Buffalo ,8 - 10 years,5-7 years,Master's degree,Woman,White
27/04/2021 17:47:20,25-34,Education (Higher Education),80000,,USD,,United States,Texas,College Station,11 - 20 years,11 - 20 years,College degree,Woman,White
27/04/2021 17:47:25,35-44,Low-Voltage Equipment,45000,,USD,,United States,Pennsylvania,Pittsburgh,11 - 20 years,11 - 20 years,College degree,Man,White
27/04/2021 17:47:35,25-34,Nonprofits,53000,,CAD,,canada,,Waterloo,5-7 years,5-7 years,College degree,Woman,White
27/04/2021 17:48:00,25-34,Science,185000,40000.0,USD,,USA,California,San Francisco,5-7 years,5-7 years,PhD,Man,White
27/04/2021 17:48:11,35-44,Education (Higher Education),98000,5000.0,CAD,,canada,,vancouver,5-7 years,5-7 years,PhD,Woman,White
27/04/2021 17:48:16,45-54,Public library,87000,0.0,CAD,,Canada,,Halifax,21 - 30 years,8 - 10 years,Master's degree,Non-binary,White
27/04/2021 17:48:17,55-64,Engineering or Manufacturing,108870,0.0,USD,,United States of America,Virginia,hampton,21 - 30 years,21 - 30 years,Master's degree,Woman,White
27/04/2021 17:48:30,35-44,Media & Digital,76000,0.0,USD,,USA,New York,New York City,11 - 20 years,11 - 20 years,College degree,Woman,White
27/04/2021 17:48:34,25-34,Social Work,28000,0.0,USD,,United States,Michigan,Hersey,8 - 10 years,2 - 4 years,College degree,Woman,White
27/04/2021 17:48:39,25-34,Government and Public Administration,63000,0.0,USD,,USA,Oregon,Portland metro,5-7 years,5-7 years,Master's degree,Woman,White
27/04/2021 17:49:03,25-34,Education (Higher Education),80000,0.0,USD,,USA,California,Los Angeles,5-7 years,5-7 years,PhD,Woman,"Hispanic, Latino, or Spanish origin"
27/04/2021 17:49:11,35-44,Education (Primary/Secondary),61567,0.0,USD,,USA,Missouri,St. Louis,21 - 30 years,21 - 30 years,Master's degree,Woman,White
27/04/2021 17:49:15,18-24,Hospitality & Events,13600,,USD,,United States,North Carolina,Greensboro,2 - 4 years,2 - 4 years,Some college,Woman,White
27/04/2021 17:49:29,25-34,Education (Primary/Secondary),46000,2000.0,USD,,United States,South Dakota,Sioux falls,8 - 10 years,8 - 10 years,Master's degree,Woman,Another option not listed here or prefer not to answer
27/04/2021 17:49:30,25-34,Health care,78000,,USD,,United States,New York,Staten Island,5-7 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman,White
27/04/2021 17:49:46,35-44,Health care,93000,0.0,USD,,USA,California,Riverside and San Bernardino ,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Woman,White
27/04/2021 17:49:47,25-34,,37000,,USD,,US,Washington,Seattle,11 - 20 years,5-7 years,College degree,Woman,White
27/04/2021 17:50:09,25-34,Social Work,40000,,USD,,USA,Washington,Seattle,5-7 years,5-7 years,College degree,Woman,White
27/04/2021 17:50:10,35-44,"Marketing, Advertising & PR",130000,2500.0,USD,,United States,Colorado,Denver,11 - 20 years,5-7 years,Master's degree,Woman,White
27/04/2021 17:50:19,35-44,Education (Higher Education),51800,0.0,USD,,USA,New Mexico,Albuquerque,11 - 20 years,11 - 20 years,Master's degree,Woman,White
27/04/2021 17:50:21,25-34,Engineering or Manufacturing,108000,0.0,AUD/NZD,AUD & NZD are not the same currency...,Australia,,Melbourne,5-7 years,2 - 4 years,College degree,Woman,White
27/04/2021 17:50:24,25-34,Health care,35000,0.0,USD,,USA,Connecticut,Stamford,8 - 10 years,8 - 10 years,College degree,Woman,White
27/04/2021 17:50:25,35-44,Law,232000,70000.0,USD,,usa,California,san mateo ca,21 - 30 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Woman,White
